body_mass,metabolic_rate
0.0333,0.7067
0.03,0.25
0.022,0.118555555555556
0.0282,0.5546
0.267,0.89
0.0531,0.409444444444444
0.0447,0.446666666666667
0.1186,0.639122222222222
0.0518,0.359722222222222
0.091,0.455
0.1065,0.852
0.1113,0.618333333333333
0.1091,0.666722222222222
0.1129,0.5645
0.1121,0.647688888888889
0.1186,0.751133333333333
0.1192,0.768177777777778
0.1159,0.798422222222222
0.28,2.38
0.0353,0.215722222222222
0.0284,0.123066666666667
0.0819,0.5096
0.124,0.392666666666667
2.82,5.9784
0.0493,0.5
0.0458,0.444444444444444
0.0573,0.488888888888889
0.5996,1.76548888888889
0.8227,1.92877444444444
0.104,0.595111111111111
0.128,0.611555555555556
0.117,0.5525
0.124,0.599333333333333
0.121,0.416777777777778
0.00827,0.0900511111111111
0.01091,0.144254444444444
0.1072,0.524088888888889
0.04531,0.265566944444444
0.06297,0.3683745
0.15,0.783333333333333
0.00823,0.0489227777777778
0.0395,0.274305555555556
0.0874,0.500122222222222
1.1123,2.36666666666667
1.613,9.07760555555556
1.613,8.95215
105.5,210.648333333333
115.0,147.2
3.97,11.4688888888889
0.032,0.56
0.047,0.513333333333333
0.064,0.876666666666667
0.075,0.916666666666667
0.68,3.26666666666667
3.6,7.63333333333333
0.2338,1.00534
1.8709,6.34027222222222
0.0346,0.359455555555556
0.0423,0.3196
0.027,0.2745
0.0768,0.6144
0.0623,0.543394444444444
0.0175,0.16625
0.0282,0.283566666666667
0.059,0.396611111111111
0.096,0.592
0.0865,0.466138888888889
0.0051,0.06545
0.0054,0.0462
0.09378,0.704392
0.1277,0.681066666666667
0.1743,0.823083333333333
0.1397,0.62865
0.1126,0.613044444444445
0.1298,0.605733333333333
0.1436,0.670133333333333
0.224,1.35644444444444
0.231,1.45016666666667
9.55,20.4263888888889
4.15,9.91388888888889
0.1483,1.40885
0.039,0.290333333333333
0.20611,0.997343388888889
0.04649,0.288883694444445
0.0453,0.242833166666667
0.197,0.766111111111111
0.0195,0.150583333333333
0.611,2.24033333333333
0.0555,0.3145
0.0628,0.401222222222222
0.0762,0.474133333333333
0.152,0.726222222222222
0.206,1.06433333333333
0.323,1.14844444444444
0.426,1.25433333333333
0.801,1.8245
0.914,2.79277777777778
1.613,4.0325
2.687,8.65811111111111
3.849,10.4778333333333
9.156,15.26
26.4,36.6666666666667
0.049,0.6125
0.11329,0.742678888888889
0.0136,0.113333333333333
13.63,6.1335
3.43,2.51533333333333
1.32,2.662
0.034,0.119
0.041,0.75
0.045,0.893333333333333
0.065,0.72
0.071,0.91
0.077,1.08333333333333
0.084,0.953333333333333
0.08,0.986666666666667
0.085,1.42666666666667
0.115,1.04
0.223,2.51333333333333
0.231,2.22
6.874,10.2346222222222
4.354,6.7487
1.2,3.2
0.053,0.315938888888889
0.071,0.510411111111111
0.096,0.472533333333333
0.21,0.709333333333333
0.24,0.636
0.4,0.791111111111111
2.14,1.55744444444444
3.58,3.043
4.22,6.14244444444444
3.5,4.91944444444444
4.21,4.72455555555556
7.71,10.8796666666667
10.3,6.75222222222222
30.6,14.45
48.0,34.1333333333333
0.0183,0.339566666666667
0.0215,0.373861111111111
0.0218,0.327
0.0214,0.336455555555556
0.0228,0.247
0.0238,0.310722222222222
0.0302,0.345622222222222
0.0303,0.279433333333333
0.0354,0.558533333333333
0.0281,0.394961111111111
0.0304,0.432355555555556
0.0512,0.497777777777778
0.044,0.391111111111111
0.0685,0.548
0.0605,0.568027777777778
0.0623,0.584927777777778
0.08,0.96
0.2581,1.20446666666667
1.0046,3.57191111111111
0.0773,0.446622222222222
0.656,2.7185125
0.667,2.703975
0.788,3.20794166666667
3.0044,6.0088
0.096,0.522666666666667
0.133,0.812777777777778
0.0118,0.258288888888889
0.7212,2.80466666666667
1.698,4.15066666666667
1.038,3.81176666666667
0.048,0.376
0.185,0.811944444444444
0.344,0.955555555555556
0.63,1.54
0.54,2.28
32.0,46.2222222222222
0.02062,0.0603888888888889
0.77,2.541
0.0321,0.2889
